Obciążenie [g],Pomiar 1 [R],Pomiar 2 [R],Pomiar 3 [R],Pomiar 4 [R],Pomiar 5 [R],Pomiar 6 [R],Średnia [R],Średnia 4 z 6 [R],K,y,x0
0,,,,,,,,"0,00",50000,0,10
26,2000,3200,1150,2500,3300,1000,"2191,67","2212,50",3125,"930,00","1282,50"
67,1050,1300,810,1300,1050,1100,"1101,67","1125,00","877,1929825","457,50","667,50"
110,650,540,520,540,570,470,"548,33","542,50",500,"273,75","268,75"
160,370,340,290,440,260,320,"336,67","330,00","333,3333333","186,25","143,75"
206,290,280,180,220,200,300,"245,00","247,50","255,1020408","149,25","98,25"
276,220,230,180,210,170,190,"200,00","200,00","187,9699248","122,75","77,25"
329,185,191,110,150,155,170,"160,17","165,00","156,7398119","89,75","75,25"
421,130,130,105,110,100,115,"115,00","115,00","121,6545012","81,75","33,25"
544,111,96,"72,5",85,70,90,"87,42","85,88","93,6329588","57,63","28,25"
808,78,80,56,73,50,54,"65,17","65,25","62,6566416","48,10","17,15"
1062,47,52,42,44,36,40,"43,50","43,25","47,52851711","39,00","4,25"
1580,30,35,27,32,26,21,"28,50","28,75","31,84713376","30,75","-2,00"
2098,26,26,25,26,22,12,"22,83","24,75","23,94636015","27,50","-2,75"
2616,18,19,23,15,17,9,"16,83","17,25","19,18649271","20,68","-3,43"
